,A,B,C,D
0,61,74,25,56
1,21,18,17,92
2,19,86,7,63
3,82,87,16,55
4,84,58,75,16
5,79,54,75,63
6,79,49,90,68
7,30,90,89,90
8,80,97,47,72
9,33,44,85,24
10,89,63,31,84
11,90,76,4,87
12,4,23,13,52
13,28,96,80,40
14,98,33,82,49
15,89,11,79,41
16,8,5,28,67
17,36,16,58,63
18,87,92,27,30
19,65,28,85,49
20,63,37,7,62
21,22,84,42,14
22,8,5,55,48
23,82,88,84,52
24,76,36,76,19
25,36,42,3,10
26,72,50,46,33
27,66,57,45,78
28,52,48,24,28
29,11,73,73,78
30,61,9,15,83
31,95,60,76,78
32,24,97,72,45
33,18,85,35,40
34,66,19,19,27
35,53,54,88,39
36,34,70,21,35
37,88,13,40,30
38,4,15,6,43
39,25,32,66,34
40,15,63,34,75
41,77,79,30,71
42,30,7,12,52
43,9,27,6,93
44,17,60,46,89
45,78,84,48,35
46,29,4,58,34
47,29,88,13,83
48,35,88,69,60
49,64,81,62,36
50,90,59,65,52
51,27,39,95,31
52,16,64,49,97
53,46,94,84,27
54,63,79,54,35
55,37,63,56,64
56,39,19,58,73
57,61,73,73,0
58,92,74,55,72
59,46,76,95,63
60,77,72,2,92
61,54,16,33,81
62,89,32,6,81
63,62,37,23,89
64,4,4,93,53
65,22,82,10,44
66,75,59,57,27
67,45,80,29,93
68,25,3,27,14
69,28,86,94,92
70,67,22,56,82
71,86,55,4,65
72,5,34,34,28
73,12,92,26,64
74,76,34,89,42
75,45,2,30,5
76,39,18,20,9
77,60,86,48,90
78,58,3,69,31
79,71,28,5,70
80,23,67,10,11
81,18,11,15,13
82,82,73,50,37
83,58,51,37,87
84,42,67,28,93
85,34,4,88,45
86,45,79,62,27
87,3,8,39,28
88,17,63,86,83
89,73,55,65,26
90,91,64,32,31
91,7,44,12,48
92,82,71,8,48
93,74,42,5,38
94,50,79,62,2
95,93,67,86,34
96,12,1,80,82
97,24,60,91,30
98,95,15,78,3
99,95,24,99,75
